CustomerID,Recency,Frequency,Monetary,Cluster,Segment
12347.0,2,7,163.16,1,Occasional Shoppers
12348.0,75,4,331.36,1,Occasional Shoppers
12349.0,18,1,15.0,0,Inactive Shoppers
12350.0,310,1,25.200000000000003,4,Regular Shoppers
12352.0,36,8,536.3,1,Occasional Shoppers
12353.0,204,1,19.9,2,Frequent Spenders
12354.0,232,1,20.8,4,Regular Shoppers
12355.0,214,1,30.0,2,Frequent Spenders
12356.0,22,3,153.9,0,Inactive Shoppers
12357.0,33,1,19.799999999999997,0,Inactive Shoppers
12358.0,1,2,157.8,0,Inactive Shoppers
12359.0,57,4,80.7,0,Inactive Shoppers
12360.0,52,3,46.3,0,Inactive Shoppers
12361.0,287,1,23.4,4,Regular Shoppers
12362.0,3,10,215.13,1,Occasional Shoppers
12363.0,109,2,85.26,2,Frequent Spenders
12364.0,7,4,80.7,0,Inactive Shoppers
12365.0,291,2,335.69,4,Regular Shoppers
12367.0,4,1,10.2,0,Inactive Shoppers
12370.0,51,4,321.38,1,Occasional Shoppers
12371.0,44,2,365.04,1,Occasional Shoppers
12372.0,71,3,90.11999999999999,0,Inactive Shoppers
12373.0,311,1,19.5,4,Regular Shoppers
12374.0,25,1,13.049999999999999,0,Inactive Shoppers
12375.0,10,2,74.80000000000001,0,Inactive Shoppers
12377.0,315,2,57.0,4,Regular Shoppers
12378.0,129,1,12.600000000000001,2,Frequent Spenders
12379.0,81,2,92.69999999999999,0,Inactive Shoppers
12380.0,21,4,220.72000000000003,1,Occasional Shoppers
12381.0,4,5,75.1,0,Inactive Shoppers
12383.0,184,5,102.4,2,Frequent Spenders
12384.0,28,2,40.0,0,Inactive Shoppers
12386.0,337,2,98.0,4,Regular Shoppers
12388.0,15,6,140.52,1,Occasional Shoppers
12390.0,79,1,19.8,0,Inactive Shoppers
12391.0,21,1,2.95,0,Inactive Shoppers
12393.0,72,4,67.2,0,Inactive Shoppers
12394.0,63,2,156.20000000000002,0,Inactive Shoppers
12395.0,19,12,215.43,1,Occasional Shoppers
12397.0,35,2,31.85,0,Inactive Shoppers
12398.0,45,1,15.0,0,Inactive Shoppers
12399.0,119,4,136.2,2,Frequent Spenders
12401.0,303,1,17.85,4,Regular Shoppers
12402.0,323,1,19.5,4,Regular Shoppers
12403.0,49,1,166.0,0,Inactive Shoppers
12405.0,148,1,12.48,2,Frequent Spenders
12406.0,22,2,124.50000000000001,0,Inactive Shoppers
12407.0,49,5,248.24,1,Occasional Shoppers
12408.0,32,5,91.9,0,Inactive Shoppers
12409.0,78,3,146.55,0,Inactive Shoppers
12410.0,308,2,34.0,4,Regular Shoppers
12412.0,74,3,44.76,0,Inactive Shoppers
12413.0,66,3,44.1,0,Inactive Shoppers
12414.0,217,3,126.36000000000001,2,Frequent Spenders
12417.0,3,9,141.4,1,Occasional Shoppers
12418.0,112,1,10.08,2,Frequent Spenders
12420.0,63,1,18.72,0,Inactive Shoppers
12421.0,15,4,72.9,0,Inactive Shoppers
12422.0,95,3,50.7,0,Inactive Shoppers
12423.0,0,8,80.73,1,Occasional Shoppers
12424.0,162,2,229.14000000000001,2,Frequent Spenders
12425.0,78,1,8.5,0,Inactive Shoppers
12426.0,194,1,17.700000000000003,2,Frequent Spenders
12427.0,21,3,75.36,0,Inactive Shoppers
12428.0,25,9,769.4800000000001,3,High-Value Loyal Shoppers
12429.0,9,4,161.18,0,Inactive Shoppers
12430.0,43,1,9.959999999999999,0,Inactive Shoppers
12431.0,35,15,1119.2800000000002,3,High-Value Loyal Shoppers
12432.0,42,5,885.1,3,High-Value Loyal Shoppers
12433.0,0,7,198.95999999999998,1,Occasional Shoppers
12434.0,84,2,32.7,0,Inactive Shoppers
12435.0,79,2,464.4,1,Occasional Shoppers
12436.0,99,1,12.600000000000001,2,Frequent Spenders
12437.0,1,18,685.61,3,High-Value Loyal Shoppers
12438.0,14,2,36.4,0,Inactive Shoppers
12441.0,366,1,10.5,4,Regular Shoppers
12442.0,3,1,17.4,0,Inactive Shoppers
12444.0,21,5,202.51,1,Occasional Shoppers
12445.0,22,1,30.0,0,Inactive Shoppers
12446.0,57,1,6.8,0,Inactive Shoppers
12447.0,243,1,19.5,4,Regular Shoppers
12448.0,44,1,19.799999999999997,0,Inactive Shoppers
12449.0,22,4,121.5,0,Inactive Shoppers
12450.0,156,2,76.2,2,Frequent Spenders
12451.0,10,5,61.620000000000005,0,Inactive Shoppers
12452.0,16,2,99.8,0,Inactive Shoppers
12453.0,134,1,19.799999999999997,2,Frequent Spenders
12454.0,56,1,183.6,0,Inactive Shoppers
12455.0,73,6,109.37,0,Inactive Shoppers
12456.0,44,3,58.980000000000004,0,Inactive Shoppers
12457.0,66,7,814.0,3,High-Value Loyal Shoppers
12458.0,71,2,45.12,0,Inactive Shoppers
12461.0,94,2,213.52,2,Frequent Spenders
12462.0,18,2,22.46,0,Inactive Shoppers
